x-axis;1;2
second;Volt;Volt
+635.000E-06;+979.075052E-03;-296.207597E-03
+640.000E-06;+981.195027E-03;-291.575059E-03
+645.000E-06;+979.938746E-03;-286.157346E-03
+650.000E-06;+980.174299E-03;-276.264130E-03
+655.000E-06;+982.372791E-03;-270.218276E-03
+660.000E-06;+981.037992E-03;-262.837622E-03
+665.000E-06;+981.744650E-03;-254.593276E-03
+670.000E-06;+979.310605E-03;-249.489633E-03
+675.000E-06;+980.174299E-03;-244.621542E-03
+680.000E-06;+978.918017E-03;-237.319407E-03
+685.000E-06;+979.781711E-03;-231.116517E-03
+690.000E-06;+978.682464E-03;-223.971417E-03
+695.000E-06;+978.682464E-03;-217.454457E-03
+700.000E-06;+979.153570E-03;-210.466392E-03
+705.000E-06;+980.488369E-03;-204.342020E-03
+710.000E-06;+979.938746E-03;-196.725814E-03
+715.000E-06;+979.781711E-03;-191.072548E-03
+720.000E-06;+978.682464E-03;-186.204457E-03
+725.000E-06;+979.624675E-03;-177.803076E-03
+730.000E-06;+978.682464E-03;-171.914257E-03
+735.000E-06;+979.232088E-03;-167.909860E-03
+740.000E-06;+978.682464E-03;-160.529206E-03
+745.000E-06;+978.682464E-03;-154.247800E-03
+750.000E-06;+979.938746E-03;-148.358980E-03
+755.000E-06;+979.703193E-03;-142.313126E-03
+760.000E-06;+977.818771E-03;-135.403579E-03
+765.000E-06;+978.682464E-03;-130.771041E-03
+770.000E-06;+978.211359E-03;-125.745915E-03
+775.000E-06;+979.389123E-03;-117.737122E-03
+780.000E-06;+977.426183E-03;-113.104584E-03
+785.000E-06;+978.682464E-03;-107.058730E-03
+790.000E-06;+978.682464E-03;-100.070664E-03
+795.000E-06;+978.760982E-03;-93.710740E-03
+800.000E-06;+979.389123E-03;-88.842649E-03
+805.000E-06;+979.938746E-03;-81.540514E-03
+810.000E-06;+979.938746E-03;-75.337624E-03
+815.000E-06;+982.215756E-03;-69.370288E-03
+820.000E-06;+979.624675E-03;-64.816268E-03
+825.000E-06;+978.132841E-03;-58.927449E-03
+830.000E-06;+978.682464E-03;-52.881595E-03
+835.000E-06;+978.682464E-03;-47.856469E-03
+840.000E-06;+978.760982E-03;-42.752826E-03
+845.000E-06;+979.938746E-03;-37.884735E-03
+850.000E-06;+980.174299E-03;-31.838881E-03
+855.000E-06;+979.938746E-03;-27.441896E-03
+860.000E-06;+979.938746E-03;-22.181218E-03
+865.000E-06;+979.467640E-03;-13.936871E-03
+870.000E-06;+979.703193E-03;-10.010992E-03
+875.000E-06;+978.603947E-03;-6.399183E-03
+880.000E-06;+978.446912E-03;+902.953E-06
+885.000E-06;+979.075052E-03;+5.692525E-03
+890.000E-06;+978.682464E-03;+10.560616E-03
+895.000E-06;+977.426183E-03;+13.701319E-03
+900.000E-06;+978.368394E-03;+19.982726E-03
+905.000E-06;+977.426183E-03;+26.264133E-03
+910.000E-06;+977.269148E-03;+30.975188E-03
+915.000E-06;+976.483972E-03;+37.178078E-03
+920.000E-06;+976.248419E-03;+43.930590E-03
+925.000E-06;+975.384726E-03;+49.348304E-03
+930.000E-06;+973.657339E-03;+52.646042E-03
+935.000E-06;+976.248419E-03;+57.749686E-03
+940.000E-06;+977.269148E-03;+64.894786E-03
+945.000E-06;+977.661736E-03;+68.977701E-03
+950.000E-06;+977.426183E-03;+72.746545E-03
+955.000E-06;+979.938746E-03;+77.065012E-03
+960.000E-06;+978.682464E-03;+84.681218E-03
+965.000E-06;+977.426183E-03;+89.156720E-03
+970.000E-06;+977.426183E-03;+92.768529E-03
+975.000E-06;+978.682464E-03;+97.558102E-03
+980.000E-06;+977.426183E-03;+104.153580E-03
+985.000E-06;+977.426183E-03;+109.728328E-03
+990.000E-06;+977.426183E-03;+112.947549E-03
+995.000E-06;+976.169902E-03;+116.873429E-03
+1.000000E-03;+977.347665E-03;+122.997801E-03
+1.005000E-03;+976.169902E-03;+129.043655E-03
+1.010000E-03;+975.698796E-03;+131.791770E-03
+1.015000E-03;+976.798042E-03;+135.560614E-03
+1.020000E-03;+976.169902E-03;+141.449433E-03
+1.025000E-03;+978.368394E-03;+148.358981E-03
+1.030000E-03;+976.169902E-03;+151.892273E-03
+1.035000E-03;+978.525429E-03;+156.603328E-03
+1.040000E-03;+979.232088E-03;+162.806217E-03
